id,code,name,type,obtained
0,stone_emerald,Kokiris Emerald,0,-1
1,stone_ruby,Gorons Ruby,0,-1
2,stone_sapphire,Zoras Sapphire,0,-1
3,medallion_forest,Forest Medallion,1,-1
4,medallion_fire,Fire Medallion,1,-1
5,medallion_water,Water Medallion,1,-1
6,medallion_shadow,Shadow Medallion,1,-1
7,medallion_spirit,Spirit Medallion,1,-1
8,medallion_light,Light Medallion,1,-1
9,song_zelda,Zeldas Lullaby,2,-1
10,song_epona,Eponas Song,2,-1
11,song_saria,Sarias Song,2,-1
12,song_sun,Suns Song,2,-1
13,song_time,Song of Time,2,-1
14,song_storm,Song of Storms,2,-1
15,song_forest,Minuet of Forest,2,-1
16,song_fire,Bolero of Fire,2,-1
17,song_water,Serenade of Water,2,-1
18,song_spirit,Requiem of Spirit,2,-1
19,song_shadow,Nocturne of Shadow,2,-1
20,song_light,Prelude of Light,2,-1
21,song_scarecrow,Scarecrows Song,2,-1
22,item_kokiri_sword,Kokiri Sword,3,-1
23,item_slingshot,Slingshot,3,-1
24,item_bracelet,Goron Bracelet,3,-1
25,item_silvers,Silver Gauntlets,3,-1
26,item_golds,Gold Gauntlets,3,-1
27,item_bombs,Bomb Bag,3,-1
28,item_silver_scale,Silver Scale,3,-1
29,item_gold_scale,Gold Scale,3,-1
30,item_boomerang,Boomerang,3,-1
31,item_bottle,Bottle,3,-1
32,item_goron_sword,Goron Sword,3,-1
33,item_hookshot,Hookshot,3,-1
34,item_longshot,Longshot,3,-1
35,item_bow,Fairy Bow,3,-1
36,item_hammer,Megaton Hammer,3,-1
37,item_iron_boots,Iron Boots,3,-1
38,item_hover_boots,Hover Boots,3,-1
39,item_dins,Din’s Fire,3,-1
40,item_fire_arrows,Fire Arrows,3,-1
41,item_light_arrows,Light Arrows,3,-1
42,item_magic,Magic,3,-1
43,item_mirror_shield,Mirror Shield,3,-1
44,item_letter,Rutos Letter,3,-1
45,item_stone,Stone of Agony,3,-1
46,item_skulls,Skulltula,3,-1
47,item_tunic_goron,Gorons Tunic,3,-1
48,item_tunic_zora,Zoras Tunic,3,-1
49,item_bombchus,Bombchus,3,-1
50,item_sticks,Sticks,3,-1
51,item_nuts,Deku Nuts,3,-1
52,item_farores,Farores Window,3,-1
53,item_gerudo_card,Gerudo Membership Card,3,-1
54,item_lens,Lens of Truth,3,-1
55,item_adult_wallet,Adult Wallet,3,-1
56,item_giants_wallet,Giants Wallet,3,-1
57,item_keaton_mask,Keaton Mask,3,-1
58,item_skull_mask,Skull Mask,3,-1
59,item_claim,Goron Sword Claim,3,-1
